IP;DATE;PICS;WEBSITE;NUMBER
123.123.123.123;26/Apr/2000;wpaper.gif;www.jafsoft.com;10
123.123.123.123;26/Apr/2000;No Image;search.netscape.com;11
123.123.123.123;26/Apr/2000;5star2000.gif;www.jafsoft.com;12
123.123.123.123;26/Apr/2000;5star.gif;www.jafsoft.com;13
123.123.123.123;26/Apr/2000;a2hlogo.jpg;www.jafsoft.com;14
123.123.123.123;26/Apr/2000;No Image;www.jafsoft.com;15
123.123.123.123;26/Apr/2000;wpaper.gif;www.jafsoft.com;16
123.123.123.123;26/Apr/2000;No Image;search.netscape.com;17
123.123.123.123;26/Apr/2000;5star2000.gif;www.jafsoft.com;18
123.123.123.123;26/Apr/2000;5star.gif;www.jafsoft.com;19
123.123.123.123;26/Apr/2000;a2hlogo.jpg;www.jafsoft.com;20
123.123.123.123;26/Apr/2000;No Image;www.jafsoft.com;21
123.123.123.123;26/Apr/2000;wpaper.gif;www.jafsoft.com;22
123.123.123.123;26/Apr/2000;No Image;search.netscape.com;23
123.123.123.123;26/Apr/2000;5star2000.gif;www.jafsoft.com;24
123.123.123.123;26/Apr/2000;5star.gif;www.jafsoft.com;25
123.123.123.123;26/Apr/2000;a2hlogo.jpg;www.jafsoft.com;26
123.123.123.123;26/Apr/2000;No Image;www.jafsoft.com;27
123.123.123.123;26/Apr/2000;wpaper.gif;www.jafsoft.com;28
123.123.123.123;26/Apr/2000;No Image;search.netscape.com;29
123.123.123.123;26/Apr/2000;5star2000.gif;www.jafsoft.com;30
123.123.123.123;26/Apr/2000;5star.gif;www.jafsoft.com;31
123.123.123.123;26/Apr/2000;a2hlogo.jpg;www.jafsoft.com;32
123.123.123.123;26/Apr/2000;No Image;www.jafsoft.com;33
123.123.123.123;26/Apr/2000;wpaper.gif;www.jafsoft.com;34
123.123.123.123;26/Apr/2000;No Image;search.netscape.com;35
123.123.123.123;26/Apr/2000;5star2000.gif;www.jafsoft.com;36
123.123.123.123;26/Apr/2000;5star.gif;www.jafsoft.com;37
123.123.123.123;26/Apr/2000;a2hlogo.jpg;www.jafsoft.com;38
123.123.123.123;26/Apr/2000;No Image;www.jafsoft.com;39
123.123.123.123;26/Apr/2000;wpaper.gif;www.jafsoft.com;40
123.123.123.123;26/Apr/2000;No Image;search.netscape.com;41
123.123.123.123;26/Apr/2000;5star2000.gif;www.jafsoft.com;42
123.123.123.123;26/Apr/2000;5star.gif;www.jafsoft.com;43
123.123.123.123;26/Apr/2000;a2hlogo.jpg;www.jafsoft.com;44
123.123.123.123;26/Apr/2000;No Image;www.jafsoft.com;45
